
                            < M A T L A B (R) >
                  Copyright 1984-2013 The MathWorks, Inc.
Finished voronoi preprocessing on graph 68, working toward 100
Finished voronoi preprocessing on graph 69, working toward 100
Finished voronoi preprocessing on graph 70, working toward 100
Finished voronoi preprocessing on graph 71, working toward 100
Finished voronoi preprocessing on graph 72, working toward 100
Finished voronoi preprocessing on graph 73, working toward 100
Finished voronoi preprocessing on graph 74, working toward 100
Finished voronoi preprocessing on graph 75, working toward 100
Finished voronoi preprocessing on graph 76, working toward 100
Finished voronoi preprocessing on graph 77, working toward 100
Finished voronoi preprocessing on graph 78, working toward 100
Finished voronoi preprocessing on graph 79, working toward 100
Finished voronoi preprocessing on graph 80, working toward 100
Finished voronoi preprocessing on graph 81, working toward 100
Finished voronoi preprocessing on graph 82, working toward 100
Finished voronoi preprocessing on graph 83, working toward 100
Finished voronoi preprocessing on graph 84, working toward 100
Finished voronoi preprocessing on graph 85, working toward 100
Finished voronoi preprocessing on graph 86, working toward 100
Finished voronoi preprocessing on graph 87, working toward 100
Finished voronoi preprocessing on graph 88, working toward 100
Finished voronoi preprocessing on graph 89, working toward 100
Finished voronoi preprocessing on graph 90, working toward 100
Finished voronoi preprocessing on graph 91, working toward 100
Finished voronoi preprocessing on graph 92, working toward 100
Finished voronoi preprocessing on graph 93, working toward 100
Finished voronoi preprocessing on graph 94, working toward 100
Finished voronoi preprocessing on graph 95, working toward 100
Finished voronoi preprocessing on graph 96, working toward 100
Finished voronoi preprocessing on graph 97, working toward 100
Finished voronoi preprocessing on graph 98, working toward 100
Finished voronoi preprocessing on graph 99, working toward 100
Finished voronoi preprocessing on graph 100, working toward 100
Processing  100 graphs took 64.91 sec
Entered voronoi loop for graph size 5000 and density 0.2
Finished voronoi preprocessing on graph 1, working toward 100
Finished voronoi preprocessing on graph 2, working toward 100
Finished voronoi preprocessing on graph 3, working toward 100
Finished voronoi preprocessing on graph 4, working toward 100
Finished voronoi preprocessing on graph 5, working toward 100
Finished voronoi preprocessing on graph 6, working toward 100
Finished voronoi preprocessing on graph 7, working toward 100
Finished voronoi preprocessing on graph 8, working toward 100
Finished voronoi preprocessing on graph 9, working toward 100
Finished voronoi preprocessing on graph 10, working toward 100
Finished voronoi preprocessing on graph 11, working toward 100
Finished voronoi preprocessing on graph 12, working toward 100
Finished voronoi preprocessing on graph 13, working toward 100
Finished voronoi preprocessing on graph 14, working toward 100
Finished voronoi preprocessing on graph 15, working toward 100
Finished voronoi preprocessing on graph 16, working toward 100
Finished voronoi preprocessing on graph 17, working toward 100
Finished voronoi preprocessing on graph 18, working toward 100
Finished voronoi preprocessing on graph 19, working toward 100
Finished voronoi preprocessing on graph 20, working toward 100
Finished voronoi preprocessing on graph 21, working toward 100
Finished voronoi preprocessing on graph 22, working toward 100
